,id,news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,url_name,clean_url
0,53,Breitbart News,right,5.0,News Media,17019,8114,0.67715752198305,https://www.allsides.com/news-source/breitbart,0,1,0,1,High,https://twitter.com/BreitbartNews,https://en.wikipedia.org/wiki/Breitbart_News,https://www.facebook.com/Breitbart/,BreitbartNews,breitbart,breitbart.com
1,69,CBS News,left-center,2.0,News Media,6905,5391,0.561564736499675,https://www.allsides.com/news-source/cbs-news-media-bias,0,1,0,1,Low or Initial Rating,https://twitter.com/@CBSNews,https://en.wikipedia.org/wiki/CBS_News,https://www.facebook.com/CBSNews/,CBSNews,cbs-news,cbs.com
2,96,CNN (Web News),left-center,2.0,News Media,27746,28952,0.489364704222371,https://www.allsides.com/news-source/cnn-media-bias,1,1,1,1,High,https://twitter.com/@CNN,https://en.wikipedia.org/wiki/CNN,https://facebook.com/cnn,CNN,cnn,cnn.com
3,97,CNN - Editorial,left,1.0,News Media,8433,2395,0.778814185445142,https://www.allsides.com/news-source/cnn-editorial,1,0,0,1,Medium,https://twitter.com/@CNN,https://en.wikipedia.org/wiki/CNN,https://facebook.com/cnn,CNN,cnn-editorial,cnn.com
4,112,Daily Beast,left,1.0,News Media,7713,4241,0.645223356198762,https://www.allsides.com/news-source/daily-beast-media-bias,1,1,0,0,,https://twitter.com/@thedailybeast,https://en.wikipedia.org/wiki/The_Daily_Beast,https://www.facebook.com/thedailybeast/,thedailybeast,daily-beast,thedailybeast.com
5,117,Daily Press,right-center,4.0,News Media,287,385,0.427083333333333,https://www.allsides.com/news-source/daily-press,0,0,0,1,Low or Initial Rating,https://twitter.com/Daily_Press,https://en.wikipedia.org/wiki/Daily_Press_(Virginia),https://www.facebook.com/dailypressnews/,Daily_Press,daily-press,dailypress.com
6,131,Democracy Now,left,1.0,News Media,5405,1833,0.746753246753247,https://www.allsides.com/news-source/democracy-now,0,0,0,1,Low or Initial Rating,https://twitter.com/DemocracyNow,https://en.wikipedia.org/wiki/Democracy_Now!,https://www.facebook.com/democracynow,DemocracyNow,democracy-now,democracynow.org
7,170,Fox Online News,right-center,4.0,News Media,22692,32082,0.414284149413956,https://www.allsides.com/news-source/fox-news-media-bias,1,1,0,1,High,https://twitter.com/FoxNews,https://en.wikipedia.org/wiki/Fox_News,https://www.facebook.com/FoxNews/,FoxNews,fox-news,foxnews.com
8,199,HotAir,right-center,4.0,News Media,941,840,0.52835485682201,https://www.allsides.com/news-source/hotair,0,0,0,1,Low or Initial Rating,https://twitter.com/hotairblog,https://en.wikipedia.org/wiki/Hot_Air,https://facebook.com/hotaircom,hotairblog,hotair,hotair.com
9,231,Jezebel,left,1.0,News Media,63,21,0.75,https://www.allsides.com/news-source/jezebel-media-bias,0,0,0,1,Low or Initial Rating,,,,,jezebel,jezebel.com
10,251,Judicial Watch,right-center,4.0,News Media,969,1100,0.468342194296762,https://www.allsides.com/news-source/judicial-watch,0,0,0,1,Low or Initial Rating,https://twitter.com/@TomFitton,https://en.wikipedia.org/wiki/Judicial_Watch,https://www.facebook.com/JudicialWatch,TomFitton,judicial-watch,judicialwatch.org
11,298,Mediaite,left-center,2.0,News Media,615,631,0.493579454253611,https://www.allsides.com/news-source/mediaite-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/@mediaite,https://en.wikipedia.org/wiki/Mediaite,https://www.facebook.com/mediaite/,mediaite,mediaite-bias,mediaite.com
12,319,MSNBC,left,1.0,News Media,5681,1923,0.747106785902157,https://www.allsides.com/news-source/msnbc,0,0,1,1,Medium,https://twitter.com/@MSNBC,https://en.wikipedia.org/wiki/MSNBC,https://www.facebook.com/msnbc/,MSNBC,msnbc,msnbc.com
13,322,National Interest,center,3.0,Think Tank / Policy Group,127,165,0.434931506849315,https://www.allsides.com/news-source/national-interest,0,0,0,1,Low or Initial Rating,,https://en.wikipedia.org/wiki/The_National_Interest,,,national-interest,nationalinterest.org
14,329,New Republic,left,1.0,News Media,1254,673,0.650752464971458,https://www.allsides.com/news-source/new-republic,0,0,0,1,Low or Initial Rating,https://twitter.com/newrepublic,https://en.wikipedia.org/wiki/The_New_Republic,https://www.facebook.com/newrepublic/,newrepublic,new-republic,newrepublic.com
15,336,Newsmax,right,5.0,News Media,6840,8978,0.432418763434062,https://www.allsides.com/news-source/newsmax,0,1,0,1,Medium,https://twitter.com/newsmax,https://en.wikipedia.org/wiki/Newsmax_Media,https://www.facebook.com/newsmax/?ref=br_rs,newsmax,newsmax,newsmax.com
16,354,PBS NewsHour,center,3.0,News Media,2039,1494,0.577129917916785,https://www.allsides.com/news-source/pbs-newshour,0,0,0,0,Low or Initial Rating,,https://en.wikipedia.org/wiki/PBS_NewsHour,,,pbs-newshour,pbs.org
17,386,RealClearPolitics,center,3.0,News Media,2787,2415,0.535755478662053,https://www.allsides.com/news-source/real-clear-politics,0,0,0,0,,https://twitter.com/RealClearNews,https://en.wikipedia.org/wiki/RealClearPolitics,https://www.facebook.com/realclearpolitics/,RealClearNews,real-clear-politics,realclearpolitics.com
18,390,Red State,right,5.0,News Media,601,199,0.75125,https://www.allsides.com/news-source/red-state,0,0,0,0,Low or Initial Rating,,,,,red-state,redstate.com
19,457,The Daily Caller,right,5.0,News Media,4658,2549,0.646316081587346,https://www.allsides.com/news-source/daily-caller,1,0,0,1,Medium,https://twitter.com/@ChuckRossDC,https://en.wikipedia.org/wiki/The_Daily_Caller,https://www.facebook.com/DailyCaller/,ChuckRossDC,daily-caller,dailycaller.com
20,468,The Gateway Pundit,right,5.0,News Media,458,335,0.577553593947037,https://www.allsides.com/news-source/gateway-pundit,0,0,0,1,Low or Initial Rating,https://twitter.com/gatewaypundit,https://en.wikipedia.org/wiki/The_Gateway_Pundit,https://www.facebook.com/gatewaypundit,gatewaypundit,gateway-pundit,thegatewaypundit.com
21,470,The Heritage Foundation,right-center,4.0,Think Tank / Policy Group,2327,1336,0.635271635271635,https://www.allsides.com/news-source/heritage-foundation,0,0,0,0,,,https://en.wikipedia.org/wiki/The_Heritage_Foundation,,,heritage-foundation,heritage.org
22,496,TheBlaze.com,right,5.0,News Media,29759,23159,0.562360633432858,https://www.allsides.com/news-source/theblaze-bias,0,0,1,1,Medium,https://twitter.com/theblaze,https://en.wikipedia.org/wiki/TheBlaze,https://www.facebook.com/theblaze/,theblaze,theblaze-bias,theblaze.com
23,528,Washington Examiner,right-center,4.0,News Media,5011,2681,0.65145605824233,https://www.allsides.com/news-source/washington-examiner,0,0,0,1,Medium,https://twitter.com/@dcexaminer,https://en.wikipedia.org/wiki/The_Washington_Examiner,https://www.facebook.com/WashingtonExaminer/,dcexaminer,washington-examiner,washingtonexaminer.com
24,531,Washington Post,left-center,2.0,News Media,24245,15197,0.614700065919578,https://www.allsides.com/news-source/washington-post-media-bias,0,1,1,1,High,https://twitter.com/@farhip,https://en.wikipedia.org/wiki/The_Washington_Post,https://www.facebook.com/washingtonpost/,farhip,washington-post,washingtonpost.com
25,545,Yahoo! News,left-center,2.0,News Media,1740,1393,0.555378231726779,https://www.allsides.com/news-source/yahoo-news-media-bias,1,0,1,0,Medium,,,,,yahoo-news,yahoo.com
26,546,Yahoo! The 360,allsides,,News Media,6,4,0.6,https://www.allsides.com/news-source/yahoo-360-media-bias,1,0,0,1,Medium,,,,,yahoo-360,yahoo.com
